total_weight,center_of_mass_offset,thrust_to_weight,arm_length,propeller_size,motor_kv,score
1139.2,3.11,3.44,188.8,8,2306,29.3
934.9,1.08,2.58,199.4,9,2490,58.9
1037.8,1.19,1.66,140.5,7,2346,81.5
1264.0,2.38,3.16,183.4,9,2542,29.1
1420.8,0.53,1.09,220.2,9,2252,20.9
831.5,1.01,1.28,185.1,6,2609,60.9
815.3,0.32,1.16,133.3,7,2373,39.0
1042.5,0.07,2.47,160.5,7,2493,77.1
607.0,0.02,2.35,167.1,7,2410,82.5
516.5,0.07,2.53,220.6,9,2156,74.0
916.8,0.64,2.47,133.1,8,2406,77.1
621.0,0.05,3.26,131.3,7,1947,88.5
1697.4,0.51,1.1,154.2,9,2314,16.1
1280.9,3.24,1.95,167.6,6,2618,54.9
1412.9,0.21,1.24,136.1,8,1883,69.0
861.7,1.27,1.34,139.1,6,1987,70.4
895.4,0.8,3.44,214.2,8,2521,56.1
1338.7,0.52,1.62,232.8,9,1681,89.8
500.0,0.16,2.93,137.0,5,2029,95.5
962.0,1.16,1.39,220.3,8,1818,67.2
657.2,1.55,0.92,115.9,6,1622,37.5
1597.4,0.24,1.55,171.5,9,2675,61.5
1106.0,0.22,3.27,198.1,8,1479,86.4
500.0,0.14,1.29,139.1,5,2225,80.4
500.0,0.34,3.28,128.2,5,2081,86.8
1007.0,0.64,1.42,204.7,7,1812,76.3
1085.0,1.42,0.95,137.8,7,1733,36.9
500.0,0.93,0.88,175.9,6,2288,45.4
1387.5,1.67,1.42,133.9,8,2425,42.8
1498.4,0.71,1.23,208.6,8,2626,51.7
1171.8,2.57,0.83,135.4,7,1657,23.9
1211.3,0.2,2.25,150.6,8,2162,82.9
1358.7,0.21,2.17,170.7,8,2569,73.0
863.0,0.88,2.48,89.7,5,2236,100.0
757.6,0.99,3.43,115.2,7,1854,86.7
1639.9,1.62,3.33,223.4,9,1418,76.0
1377.2,0.13,1.02,153.3,7,2353,33.7
823.4,0.85,3.41,134.6,9,2378,54.6
500.0,0.76,2.56,138.6,5,1832,88.9
